Recording timestamp	Sensor	Event	Event value	Gaze point X	Gaze point Y	Validity left	Validity right
56869		ImageStimulusStart	Mitte - Kopie				
56871	Eye Tracker			1608	1042	Valid	Valid
56875	Eye Tracker			1609	1042	Valid	Valid
56878	Eye Tracker			1606	1044	Valid	Valid
56881	Eye Tracker			1598	1042	Valid	Valid
56885	Eye Tracker			1608	1042	Valid	Valid
56888	Eye Tracker			1605	1040	Valid	Valid
56891	Eye Tracker			1607	1042	Valid	Valid
56895	Eye Tracker			1606	1041	Valid	Valid
56898	Eye Tracker			1605	1041	Valid	Valid
56901	Eye Tracker			1606	1043	Valid	Valid
56905	Eye Tracker			1606	1042	Valid	Valid
56908	Eye Tracker			1607	1040	Valid	Valid
56911	Eye Tracker			1605	1040	Valid	Valid
56915	Eye Tracker			1606	1041	Valid	Valid
56918	Eye Tracker			1606	1044	Valid	Valid
56921	Eye Tracker			1605	1042	Valid	Valid
56925	Eye Tracker			1607	1040	Valid	Valid
56928	Eye Tracker			1609	1042	Valid	Valid
56931	Eye Tracker			1609	1041	Valid	Valid
56935	Eye Tracker			1609	1042	Valid	Valid
56938	Eye Tracker			1608	1042	Valid	Valid
56941	Eye Tracker			1607	1040	Valid	Valid
56945	Eye Tracker			1606	1041	Valid	Valid
56948	Eye Tracker			1606	1043	Valid	Valid
56951	Eye Tracker			1605	1042	Valid	Valid
56955	Eye Tracker			1606	1042	Valid	Valid
56958	Eye Tracker			1606	1042	Valid	Valid
56961	Eye Tracker			1606	1042	Valid	Valid
56965	Eye Tracker			1605	1042	Valid	Valid
56968	Eye Tracker			1605	1042	Valid	Valid
56971	Eye Tracker			1605	1042	Valid	Valid
56975	Eye Tracker			1605	1042	Valid	Valid
56978	Eye Tracker			1607	1043	Valid	Valid
56981	Eye Tracker			1607	1042	Valid	Valid
56985	Eye Tracker			1610	1041	Valid	Valid
56988	Eye Tracker			1611	1042	Valid	Valid
56991	Eye Tracker			1611	1043	Valid	Valid
56995	Eye Tracker			1609	1042	Valid	Valid
56998	Eye Tracker			1604	1041	Valid	Valid
57001	Eye Tracker			1603	1041	Valid	Valid
57005	Eye Tracker			1603	1042	Valid	Valid
57008	Eye Tracker			1605	1042	Valid	Valid
57011	Eye Tracker			1603	1044	Valid	Valid
57015	Eye Tracker			1605	1048	Valid	Valid
57018	Eye Tracker			1602	1054	Valid	Valid
57021	Eye Tracker			1598	1040	Valid	Valid
57025	Eye Tracker			1579	1030	Valid	Valid
57028	Eye Tracker			1547	1033	Valid	Valid
57031	Eye Tracker			1507	1037	Valid	Valid
57035	Eye Tracker			1463	977	Valid	Invalid
57038	Eye Tracker			1395	944	Valid	Invalid
57041	Eye Tracker			1375	962	Valid	Invalid
57045	Eye Tracker					Invalid	Invalid
57048	Eye Tracker					Invalid	Invalid
57051	Eye Tracker					Invalid	Invalid
57055	Eye Tracker					Invalid	Invalid
57058	Eye Tracker					Invalid	Invalid
57061	Eye Tracker					Invalid	Invalid
57065	Eye Tracker					Invalid	Invalid
57068	Eye Tracker					Invalid	Invalid
57071	Eye Tracker					Invalid	Invalid
57075	Eye Tracker					Invalid	Invalid
57078	Eye Tracker					Invalid	Invalid
57081	Eye Tracker					Invalid	Invalid
57085	Eye Tracker					Invalid	Invalid
57088	Eye Tracker					Invalid	Invalid
57091	Eye Tracker					Invalid	Invalid
57095	Eye Tracker					Invalid	Invalid
57098	Eye Tracker					Invalid	Invalid
57101	Eye Tracker					Invalid	Invalid
57105	Eye Tracker					Invalid	Invalid
57108	Eye Tracker					Invalid	Invalid
57111	Eye Tracker					Invalid	Invalid
57115	Eye Tracker					Invalid	Invalid
57118	Eye Tracker					Invalid	Invalid
57121	Eye Tracker					Invalid	Invalid
57125	Eye Tracker					Invalid	Invalid
57128	Eye Tracker					Invalid	Invalid
57131	Eye Tracker					Invalid	Invalid
57135	Eye Tracker					Invalid	Invalid
57138	Eye Tracker					Invalid	Invalid
57141	Eye Tracker					Invalid	Invalid
57145	Eye Tracker					Invalid	Invalid
57148	Eye Tracker					Invalid	Invalid
57151	Eye Tracker					Invalid	Invalid
57155	Eye Tracker					Invalid	Invalid
57158	Eye Tracker					Invalid	Invalid
57161	Eye Tracker					Invalid	Invalid
57165	Eye Tracker			912	1058	Valid	Invalid
57168	Eye Tracker					Invalid	Invalid
57171	Eye Tracker					Invalid	Invalid
57175	Eye Tracker					Invalid	Invalid
57178	Eye Tracker					Invalid	Invalid
57181	Eye Tracker					Invalid	Invalid
57185	Eye Tracker					Invalid	Invalid
57188	Eye Tracker			1037	949	Valid	Invalid
57191	Eye Tracker			1004	788	Valid	Invalid
57195	Eye Tracker			987	767	Valid	Invalid
57198	Eye Tracker			1010	742	Valid	Invalid
57201	Eye Tracker			1011	719	Valid	Invalid
57205	Eye Tracker			1008	706	Valid	Invalid
57208	Eye Tracker			1008	698	Valid	Invalid
