Recording timestamp	Sensor	Event	Event value	Gaze point X	Gaze point Y	Validity left	Validity right
63479	Eye Tracker			977	466	Valid	Valid
63480	Mouse						
63483	Eye Tracker			977	467	Valid	Valid
63486	Eye Tracker			978	463	Valid	Valid
63489	Eye Tracker			981	466	Valid	Valid
63493	Eye Tracker			980	464	Valid	Valid
63496	Eye Tracker			978	469	Valid	Valid
63499	Eye Tracker			978	472	Valid	Valid
63503	Eye Tracker			978	469	Valid	Valid
63506	Eye Tracker			978	468	Valid	Valid
63509	Eye Tracker			982	470	Valid	Valid
63513	Eye Tracker			981	470	Valid	Valid
63516	Eye Tracker			981	469	Valid	Valid
63519	Eye Tracker			979	472	Valid	Valid
63523	Eye Tracker			978	474	Valid	Valid
63526	Eye Tracker			979	468	Valid	Valid
63529	Eye Tracker			976	473	Valid	Valid
63533	Eye Tracker			975	472	Valid	Valid
63536	Eye Tracker			978	477	Valid	Valid
63539	Eye Tracker			976	472	Valid	Valid
63543	Eye Tracker			977	475	Valid	Valid
63546	Eye Tracker			977	469	Valid	Valid
63549	Eye Tracker			977	473	Valid	Valid
63553	Eye Tracker			977	474	Valid	Valid
63556	Eye Tracker			976	470	Valid	Valid
63559	Eye Tracker			979	472	Valid	Valid
63561	Mouse						
63563	Eye Tracker			978	469	Valid	Valid
63566	Eye Tracker			977	471	Valid	Valid
63569	Eye Tracker			976	469	Valid	Valid
63573	Eye Tracker			978	468	Valid	Valid
63576	Eye Tracker			978	471	Valid	Valid
63576	Mouse						
63579	Eye Tracker			975	475	Valid	Valid
63583	Eye Tracker			977	474	Valid	Valid
63586	Eye Tracker			978	474	Valid	Valid
63589	Eye Tracker			977	475	Valid	Valid
63593	Mouse						
63593	Eye Tracker			975	474	Valid	Valid
63596	Eye Tracker			976	473	Valid	Valid
63599	Eye Tracker			976	473	Valid	Valid
63603	Eye Tracker			976	473	Valid	Valid
63606	Eye Tracker			978	475	Valid	Valid
63609	Mouse						
63609	Eye Tracker			979	473	Valid	Valid
63613	Eye Tracker			978	474	Valid	Valid
63616	Eye Tracker			979	472	Valid	Valid
63619	Eye Tracker			980	474	Valid	Valid
63623	Eye Tracker			982	476	Valid	Valid
63625	Mouse						
63626	Eye Tracker			979	476	Valid	Valid
63629	Eye Tracker			976	475	Valid	Valid
63633	Eye Tracker			980	473	Valid	Valid
63636	Eye Tracker			977	482	Valid	Valid
63639	Eye Tracker			966	450	Invalid	Valid
63640	Mouse						
63643	Eye Tracker			1057	531	Invalid	Valid
63646	Eye Tracker			1121	514	Valid	Valid
63649	Eye Tracker					Invalid	Invalid
63653	Eye Tracker					Invalid	Invalid
63656	Eye Tracker					Invalid	Invalid
63657	Mouse						
63659	Eye Tracker					Invalid	Invalid
63663	Eye Tracker					Invalid	Invalid
63666	Eye Tracker					Invalid	Invalid
63669	Eye Tracker					Invalid	Invalid
63672	Mouse						
63673	Eye Tracker					Invalid	Invalid
63676	Eye Tracker					Invalid	Invalid
63679	Eye Tracker					Invalid	Invalid
63683	Eye Tracker					Invalid	Invalid
63686	Eye Tracker					Invalid	Invalid
63689	Mouse						
63689	Eye Tracker					Invalid	Invalid
63693	Eye Tracker					Invalid	Invalid
63696	Eye Tracker					Invalid	Invalid
63699	Eye Tracker					Invalid	Invalid
63703	Eye Tracker					Invalid	Invalid
63705	Mouse						
63706	Eye Tracker					Invalid	Invalid
63709	Eye Tracker					Invalid	Invalid
63713	Eye Tracker					Invalid	Invalid
63716	Eye Tracker					Invalid	Invalid
63719	Eye Tracker					Invalid	Invalid
63720	Mouse						
63723	Eye Tracker			1256	695	Valid	Invalid
63726	Eye Tracker					Invalid	Invalid
63729	Eye Tracker					Invalid	Invalid
63733	Eye Tracker					Invalid	Invalid
63736	Eye Tracker					Invalid	Invalid
63737	Mouse						
63739	Eye Tracker					Invalid	Invalid
63743	Eye Tracker					Invalid	Invalid
63746	Eye Tracker					Invalid	Invalid
63749	Eye Tracker			1102	388	Valid	Invalid
63753	Eye Tracker			1099	377	Valid	Invalid
63756	Eye Tracker			1071	365	Valid	Invalid
63759	Eye Tracker			983	367	Valid	Valid
63763	Eye Tracker			1013	355	Valid	Valid
63766	Eye Tracker			995	383	Invalid	Valid
63769	Eye Tracker			1016	392	Valid	Valid
63773	Eye Tracker			1020	384	Valid	Valid
63776	Eye Tracker			1023	385	Valid	Valid
63779	Eye Tracker			1023	382	Valid	Valid
63783	Eye Tracker			1023	382	Valid	Valid
63786	Eye Tracker			1027	381	Valid	Valid
63789	Eye Tracker			1025	380	Valid	Valid
63793	Eye Tracker			1027	379	Valid	Valid
63796	Eye Tracker			1026	379	Valid	Valid
63799	Eye Tracker			1025	378	Valid	Valid
63803	Eye Tracker			1024	378	Valid	Valid
63806	Eye Tracker			1021	377	Valid	Valid
63809	Eye Tracker			1020	379	Valid	Valid
63813	Eye Tracker			1020	380	Valid	Valid
63816	Eye Tracker			1021	378	Valid	Valid
63819	Eye Tracker			1021	379	Valid	Valid
63823	Eye Tracker			1024	378	Valid	Valid
63826	Eye Tracker			1023	378	Valid	Valid
63829	Eye Tracker			1022	378	Valid	Valid
63833	Eye Tracker			1023	380	Valid	Valid
63836	Eye Tracker			1020	376	Valid	Valid
63839	Eye Tracker			1019	375	Valid	Valid
63843	Eye Tracker			1018	376	Valid	Valid
63846	Eye Tracker			1018	376	Valid	Valid
63849	Eye Tracker			1015	378	Valid	Valid
63853	Eye Tracker			1018	378	Valid	Valid
63856	Eye Tracker			1020	377	Valid	Valid
63859	Eye Tracker			1021	379	Valid	Valid
63863	Eye Tracker			1022	377	Valid	Valid
63866	Eye Tracker			1019	375	Valid	Valid
63869	Eye Tracker			1025	376	Valid	Valid
63873	Eye Tracker			1022	375	Valid	Valid
63876	Eye Tracker			1024	375	Valid	Valid
63879	Eye Tracker			1023	375	Valid	Valid
63883	Eye Tracker			1021	379	Valid	Valid
63886	Eye Tracker			1023	376	Valid	Valid
63889	Mouse						
63889	Eye Tracker			1022	375	Valid	Valid
63893	Eye Tracker			1019	375	Valid	Valid
63896	Eye Tracker			1020	379	Valid	Valid
63899	Eye Tracker			1023	377	Valid	Valid
63903	Eye Tracker			1020	376	Valid	Valid
63906	Eye Tracker			1020	376	Valid	Valid
